text,label
방금 출근하면서 징그러워 ㅎㅎ ,6
왠지 엄청나게 성질 난다 어휴? ,2
오늘 난 퇴근길에 말도 안 되게 진짜 화난다...,2
지금 난 출근하면서 약간 꼴 보기 싫다 다시는 보기 싫어?! ,6
갑자기 밤늦게 약간 징그러워 다시는 보기 싫어... ,6
솔직히 요즘 엄청 짜증나 왜 저래!! ,2
정말 밤늦게 너무 느긋해 괜찮다. ,4
방금 밤늦게 너무 구역질 나 다시는 보기 싫어?! ,6
갑자기 점심 먹고 꽤 머리가 맑아 괜찮다? ,4
오늘 난 요즘 굉장히 잔잔해 그냥 이렇게 있고 싶어. ,4
갑자기 오늘 완전 좋다 완벽한 하루? ,5
갑자기 살짝 토할 것 같아 진짜? ,6
진짜 요즘 엄청나게 마음이 편안해 나쁘지 않다?! ,4
방금 지금 엄청 설렌다 완벽한 하루 ㅎㅎ ,5
진짜 점심 먹고 약간 토할 것 같아. ,6
하필 지금 오늘 진짜 짜릿해 ㅎㅎ,5
왠지 점심 먹고 살짝 혐오스러워... ,6
정말 이번 주 말도 안 되게 와 진짜 놀람 내가 방금 본 게 맞아...,1
오늘 난 오늘 꽤 어메이징하다 ㅠㅠ ,1
갑자기 오늘 굉장히 짜증나 어휴. ,2
솔직히 퇴근길에 너무 소름 돋아 정말 싫다.,0
진짜 오늘 꽤 빡친다 그만해 ㅎㅎ ,2
갑자기 이번 주 엄청 징그러워 제발 치워줘?!,6
정말 퇴근길에 살짝 편안하다 괜찮다 ㅠㅠ ,4
방금 점심 먹고 꽤 즐겁다 행운이다! ,5
지금 난 밤늦게 으스스해 도망가고 싶다!! ,0
솔직히 퇴근길에 엄청 징그러워 극혐!!,6
방금 방금 엄청나게 끝까지 실망이야 어휴 ㅎㅎ ,2
나 오늘 너무 괜히 겁난다 어떡하지! ,0
하필 지금 아까 완전 진짜 화난다 어휴! ,2
하필 지금 방금 엄청 이게 말이 돼 무슨 일이야! ,1
오늘 난 출근하면서 말도 안 되게 헐 무슨 일이야?!,1
왠지 점심 먹고 꽤 붕괴 직전! ,2
방금 밤늦게 진짜 짜릿해 행운이다 ㅠㅠ ,5
진짜 이번 주 진짜 비참해 어떡하니. ,3
갑자기 퇴근길에 말도 안 되게 충격적이야 실화야! ,1
지금 난 오늘 살짝 무서워 도망가고 싶다? ,0
왠지 점심 먹고 말도 안 되게 섬뜩해 정말 싫다?! ,0
오늘 난 출근하면서 살짝 어이없네 진짜야... ,1
하필 지금 방금 꽤 너무 불쾌해 극혐... ,6
갑자기 밤늦게 굉장히 대박?!,1
나 점심 먹고 꽤 짜증나 진짜로... ,2
왠지 밤늦게 살짝 질린다 제발 치워줘 ㅎㅎ ,6
갑자기 이번 주 완전 낙담했어 혼자 있고 싶어? ,3
오늘 난 밤늦게 완전 흥이 난다 행운이다 ㅠㅠ ,5
솔직히 밤늦게 엄청 잔잔해 그냥 이렇게 있고 싶어? ,4
진짜 점심 먹고 굉장히 침울하다 말문이 막혀...,3
오늘 난 출근하면서 말도 안 되게 침울하다 견디기 어렵다 ㅎㅎ ,3
나 이번 주 완전 어이없다 그만해. ,2
오늘 난 오늘 불안해 정말 싫다 ㅎㅎ ,0
나 점심 먹고 너무 마음이 들뜬다! ,5
나 점심 먹고 약간 웃음이 난다 행운이다?! ,5
솔직히 이번 주 말도 안 되게 웃음이 난다 오늘 최고... ,5
나 출근하면서 엄청 인생 최고야 오늘 최고! ,5
솔직히 요즘 굉장히 덜덜 떨려 정말 싫다!! ,0
정말 요즘 말도 안 되게 신난다 좋은 일만 가득 ㅠㅠ ,5
솔직히 오늘 살짝 비위 상해 다시는 보기 싫어 ㅠㅠ ,6
지금 난 점심 먹고 살짝 인생 최고야 ㅎㅎ ,5
갑자기 방금 역겹다 극혐?!,6
정말 밤늦게 엄청나게 마음이 잔잔해 그냥 이렇게 있고 싶어 ㅎㅎ ,4
솔직히 이번 주 살짝 두렵다 죽겠어!! ,0
오늘 난 이번 주 굉장히 포기하고 싶어 혼자 있고 싶어!!,3
오늘 난 밤늦게 살짝 느긋해? ,4
진짜 밤늦게 엄청나게 더러워 제발 치워줘. ,6
왠지 요즘 너무 세상에 실화야! ,1
진짜 퇴근길에 엄청 짜증나 어휴 ㅎㅎ ,2
방금 점심 먹고 완전 릴랙스됐다 나쁘지 않다 ㅎㅎ ,4
방금 지금 진짜 비참해 혼자 있고 싶어! ,3
방금 오늘 진짜 비참해 말문이 막혀?! ,3
하필 지금 오늘 엄청 혐오스러워 제발 치워줘!,6
방금 아까 약간 편안하다 나쁘지 않다 ㅎㅎ ,4
하필 지금 지금 굉장히 공포스러워 숨고 싶어! ,0
갑자기 지금 살짝 와 진짜 놀람 실화야? ,1
방금 지금 완전 눈물 난다 견디기 어렵다... ,3
방금 엄청 마음이 아프다? ,3
지금 난 출근하면서 날아갈 것 같아 완벽한 하루!! ,5
오늘 난 아까 엄청 깊은 밤이 너무 무섭다 어떡하지... ,0
하필 지금 요즘 엄청나게 웃음이 난다 완벽한 하루. ,5
지금 난 밤늦게 말도 안 되게 질린다 제발 치워줘 ㅠㅠ ,6
정말 출근하면서 꽤 헐 진짜야 ㅎㅎ ,1
하필 지금 퇴근길에 굉장히 성질 난다 왜 저래?! ,2
방금 아까 진짜 어이없네 무슨 일이야?! ,1
정말 요즘 굉장히 머리가 맑아 좋다 ㅎㅎ ,4
방금 오늘 꽤 이럴 수가 진짜야 ㅎㅎ,1
진짜 점심 먹고 소름 돋아 미치겠네?! ,0
나 지금 엄청나게 역겹다 다시는 보기 싫어? ,6
왠지 방금 진짜 고요하다!,4
오늘 난 출근하면서 굉장히 세상에 실화야?! ,1
하필 지금 밤늦게 약간 공포스러워 정말 싫다 ㅎㅎ,0
나 방금 완전 뿌듯하다 오늘 최고? ,5
진짜 지금 굉장히 대박 진짜야! ,1
갑자기 아까 살짝 깊은 밤이 너무 무섭다.,0
나 요즘 진짜 구리다 극혐 ㅠㅠ ,6
왠지 점심 먹고 굉장히 덜덜 떨려 숨고 싶어!,0
왠지 아까 어이없다!! ,2
오늘 난 요즘 꽤 토할 것 같아 다시는 보기 싫어! ,6
솔직히 요즘 약간 속상해 혼자 있고 싶어!! ,3
정말 퇴근길에 엄청나게 으스스해 ㅎㅎ,0
왠지 지금 약간 확 돌아버리겠네 그만해 ㅎㅎ ,2
하필 지금 굉장히 구역질 나 다시는 보기 싫어 ㅎㅎ,6
갑자기 퇴근길에 진짜 이럴 수가 내가 방금 본 게 맞아 ㅠㅠ,1
왠지 지금 완전 완전 좋다 행운이다 ㅠㅠ ,5
진짜 아까 완전 두렵다? ,0
왠지 이번 주 진짜 성질 난다 왜 저래! ,2
오늘 난 퇴근길에 살짝 빡친다 그만해? ,2
진짜 엄청 덜덜 떨려 미치겠네 ㅠㅠ,0
솔직히 출근하면서 엄청나게 세상에 진짜야?,1
지금 난 점심 먹고 약간 세상에 무슨 일이야! ,1
오늘 난 퇴근길에 말도 안 되게 슬퍼 정말!! ,3
지금 난 출근하면서 굉장히 혐오스러워!! ,6
정말 꽤 낙담했어 어떡하니!! ,3
진짜 밤늦게 꽤 평온하다. ,4
하필 지금 출근하면서 믿기지 않아 무슨 일이야 ㅎㅎ,1
갑자기 밤늦게 약간 화 나 어휴. ,2
오늘 난 방금 엄청나게 미치겠다 왜 저래... ,2
나 출근하면서 완전 역겹다 ㅠㅠ ,6
진짜 오늘 엄청 웃음이 난다 행운이다 ㅠㅠ ,5
하필 지금 퇴근길에 완전 섬뜩해? ,0
방금 오늘 너무 화 나 어휴!!,2
정말 밤늦게 굉장히 깜짝이야 진짜야. ,1
지금 난 점심 먹고 엄청나게 세상에 진짜야...,1
갑자기 이번 주 완전 어이없네 실화야 ㅎㅎ ,1
갑자기 지금 엄청나게 소름 돋는 역겨움 진짜. ,6
왠지 방금 굉장히 화 나 왜 저래. ,2
진짜 요즘 완전 무서워?! ,0
하필 지금 방금 완전 좋다! ,5
왠지 출근하면서 엄청나게 뜻밖이네 내가 방금 본 게 맞아!,1
갑자기 이번 주 굉장히 가슴이 먹먹해 혼자 있고 싶어? ,3
지금 난 아까 말도 안 되게 마음이 편안해 그냥 이렇게 있고 싶어. ,4
오늘 난 이번 주 약간 뿌듯하다... ,5
지금 난 요즘 살짝 포기하고 싶어... ,3
왠지 지금 진짜 소름 돋는 역겨움 다시는 보기 싫어?!,6
하필 지금 이번 주 살짝 고요하다 괜찮다!! ,4
오늘 난 점심 먹고 엄청 더러워 ㅠㅠ ,6
정말 아까 약간 하루가 빛나 오늘 최고!! ,5
왠지 아까 완전 소름 돋는 역겨움 다시는 보기 싫어! ,6
방금 밤늦게 진짜 가슴이 먹먹해 말문이 막혀!,3
나 아까 엄청나게 어이없다 진짜로... ,2
오늘 난 출근하면서 구역질 나! ,6
갑자기 방금 엄청 가슴이 먹먹해... ,3
지금 난 오늘 완전 구리다 제발 치워줘?! ,6
갑자기 이번 주 약간 슬퍼 말문이 막혀? ,3
갑자기 출근하면서 말도 안 되게 열받아 어휴? ,2
나 요즘 너무 릴랙스됐다. ,4
지금 난 오늘 진짜 더러워 진짜? ,6
방금 이번 주 살짝 대박 진짜야...,1
정말 퇴근길에 살짝 어메이징하다 진짜야!,1
갑자기 밤늦게 살짝 짜릿해 완벽한 하루 ㅠㅠ ,5
오늘 난 요즘 진짜 소름 돋는 역겨움 진짜... ,6
지금 난 아까 약간 뇌가 쉬는 느낌 괜찮다 ㅎㅎ ,4
왠지 요즘 살짝 빡친다 왜 저래?,2
나 질린다 ㅎㅎ ,6
정말 요즘 꽤 더러워 진짜?! ,6
정말 요즘 굉장히 확 돌아버리겠네 그만해? ,2
갑자기 요즘 붕괴 직전 어휴... ,2
방금 약간 행복해 좋은 일만 가득?,5
솔직히 엄청나게 뿌듯하다 완벽한 하루 ㅠㅠ,5
정말 밤늦게 엄청나게 이럴 수가 내가 방금 본 게 맞아?! ,1
진짜 출근하면서 완전 행복해 완벽한 하루 ㅎㅎ ,5
방금 요즘 말도 안 되게 심장이 벌렁거려 어떡하지 ㅎㅎ ,0
나 점심 먹고 엄청나게 꼴 보기 싫다? ,6
정말 살짝 비참해 말문이 막혀.,3
진짜 아까 진짜 충격적이야 내가 방금 본 게 맞아...,1
하필 지금 점심 먹고 꽤 이게 말이 돼 무슨 일이야...,1
하필 지금 점심 먹고 굉장히 여유롭다!!,4
왠지 점심 먹고 약간 신난다 행운이다 ㅎㅎ ,5
정말 밤늦게 굉장히 공포스러워 어떡하지!! ,0
갑자기 방금 엄청나게 섬뜩해 어떡하지. ,0
나 오늘 꽤 으스스해 미치겠네. ,0
하필 지금 출근하면서 안정된다 괜찮다. ,4
하필 지금 아까 진짜 뇌가 쉬는 느낌 그냥 이렇게 있고 싶어?! ,4
정말 점심 먹고 약간 끝까지 실망이야 그만해!!,2
진짜 출근하면서 깊은 밤이 너무 무섭다 미치겠네!! ,0
정말 오늘 엄청나게 마음이 잔잔해 좋다 ㅎㅎ ,4
진짜 방금 완전 날아갈 것 같아 행운이다? ,5
지금 난 이번 주 너무 마음이 아프다 ㅎㅎ ,3
방금 오늘 엄청나게 날아갈 것 같아 완벽한 하루 ㅎㅎ ,5
진짜 꽤 진짜 화난다 그만해 ㅎㅎ ,2
방금 오늘 너무 진절머리나 ㅠㅠ ,6
나 요즘 진짜 확 돌아버리겠네 말이 안 돼!! ,2
진짜 밤늦게 진짜 평온하다 나쁘지 않다?! ,4
정말 퇴근길에 완전 웃음이 난다 완벽한 하루 ㅠㅠ,5
방금 요즘 굉장히 허탈하다... ,3
오늘 난 방금 꽤 심장이 벌렁거려 숨고 싶어.,0
방금 오늘 너무 화 나 어휴. ,2
오늘 난 진짜 악몽 꿨어 정말 싫다!! ,0
나 말도 안 되게 열받아 어휴?! ,2
갑자기 출근하면서 진짜 비참해 혼자 있고 싶어? ,3
갑자기 출근하면서 엄청나게 섬뜩해 미치겠네. ,0
갑자기 지금 엄청나게 빡친다 환장하겠네!!,2
하필 지금 아까 굉장히 구역질 나 제발 치워줘.,6
방금 요즘 섬뜩해 도망가고 싶다! ,0
하필 지금 퇴근길에 살짝 깊은 밤이 너무 무섭다 죽겠어... ,0
지금 난 방금 굉장히 짜릿해?! ,5
정말 퇴근길에 약간 짜증나 ㅠㅠ ,2
진짜 방금 완전 더러워 극혐?! ,6
방금 요즘 꽤 깜짝이야?! ,1
지금 난 엄청 날아갈 것 같아 오늘 최고?,5
왠지 요즘 엄청 완전 좋다 행운이다?! ,5
오늘 난 아까 머리가 맑아 그냥 이렇게 있고 싶어 ㅎㅎ ,4
왠지 굉장히 신난다 좋은 일만 가득!! ,5
왠지 퇴근길에 꽤 소름 돋는 역겨움 제발 치워줘 ㅎㅎ ,6
방금 엄청나게 어이없네 무슨 일이야! ,1
진짜 지금 살짝 진짜 화난다 ㅎㅎ ,2
갑자기 출근하면서 굉장히 이게 말이 돼 무슨 일이야 ㅠㅠ,1
방금 요즘 가슴이 먹먹해 정말. ,3
왠지 요즘 너무 분노가 치밀어 왜 저래?!,2
방금 출근하면서 완전 마음이 아프다?!,3
나 아까 완전 뿌듯하다 오늘 최고... ,5
솔직히 이번 주 말도 안 되게 흥이 난다 완벽한 하루!! ,5
하필 지금 지금 말도 안 되게 구역질 나.,6
나 오늘 진짜 공포스러워 도망가고 싶다... ,0
왠지 밤늦게 완전 울컥한다 견디기 어렵다!!,3
정말 방금 진짜 여유롭다 나쁘지 않다!! ,4
오늘 난 요즘 살짝 허탈하다 정말 ㅎㅎ ,3
왠지 밤늦게 비위 상해 극혐 ㅎㅎ ,6
정말 퇴근길에 완전 상상도 못했네 실화야?! ,1
솔직히 이번 주 살짝 뜻밖이네 내가 방금 본 게 맞아?,1
나 밤늦게 말도 안 되게 깜짝이야 실화야 ㅠㅠ ,1
하필 지금 오늘 너무 불쾌해 극혐!! ,6
정말 방금 꽤 덜덜 떨려 죽겠어. ,0
진짜 이번 주 말도 안 되게 차분해 괜찮다... ,4
나 퇴근길에 굉장히 무서워 정말 싫다. ,0
진짜 요즘 엄청나게 릴랙스됐다 나쁘지 않다? ,4
왠지 요즘 꽤 구리다... ,6
방금 요즘 굉장히 구역질 나 극혐? ,6
지금 난 화 나 환장하겠네?! ,2
진짜 비참해 말문이 막혀 ㅠㅠ ,3
지금 난 오늘 엄청나게 웃음이 난다 행운이다 ㅠㅠ ,5
왠지 방금 침울하다 말문이 막혀 ㅠㅠ,3
지금 난 오늘 진짜 불안해 숨고 싶어 ㅠㅠ ,0
솔직히 출근하면서 너무 짜증나 그만해? ,2
갑자기 방금 엄청나게 여유롭다 괜찮다 ㅎㅎ ,4
갑자기 아까 엄청나게 뇌가 쉬는 느낌 그냥 이렇게 있고 싶어!! ,4
갑자기 퇴근길에 살짝 여유롭다 좋다 ㅎㅎ ,4
갑자기 방금 겁나 죽겠어 ㅠㅠ ,0
솔직히 점심 먹고 꽤 구역질 나 제발 치워줘... ,6
오늘 난 오늘 엄청 차분해 그냥 이렇게 있고 싶어?! ,4
지금 난 아까 완전 안정된다 나쁘지 않다 ㅠㅠ ,4
하필 지금 굉장히 신난다?! ,5
나 점심 먹고 살짝 충격적이야. ,1
정말 이번 주 굉장히 어이없네 진짜야!! ,1
지금 난 점심 먹고 엄청나게 행복해 행운이다? ,5
방금 퇴근길에 꽤 이게 말이 돼?! ,1
지금 난 요즘 말도 안 되게 인생 최고야 좋은 일만 가득.,5
정말 오늘 꽤 질린다 제발 치워줘...,6
오늘 난 이번 주 너무 우울해 혼자 있고 싶어? ,3
솔직히 약간 구리다 제발 치워줘?! ,6
갑자기 출근하면서 약간 흥이 난다. ,5
정말 요즘 살짝 대박 진짜야! ,1
진짜 요즘 살짝 진절머리나 극혐 ㅠㅠ ,6
하필 지금 퇴근길에 진짜 구역질 나? ,6
나 출근하면서 약간 덜덜 떨려 ㅎㅎ ,0
하필 지금 점심 먹고 느긋해 그냥 이렇게 있고 싶어 ㅎㅎ ,4
갑자기 요즘 침울하다 어떡하니! ,3
하필 지금 오늘 꽤 악몽 꿨어 어떡하지!! ,0
오늘 난 점심 먹고 약간 릴랙스됐다 나쁘지 않다.,4
나 밤늦게 역겹다 다시는 보기 싫어 ㅠㅠ,6
정말 아까 엄청 괜히 겁난다 죽겠어?! ,0
나 출근하면서 허전해 정말.,3
하필 지금 출근하면서 확 돌아버리겠네 어휴 ㅎㅎ,2
하필 지금 지금 약간 세상에?! ,1
솔직히 출근하면서 진짜 심장이 벌렁거려 죽겠어 ㅠㅠ ,0
방금 방금 말도 안 되게 심장이 벌렁거려 도망가고 싶다 ㅎㅎ ,0
왠지 밤늦게 엄청나게 구리다 ㅠㅠ ,6
솔직히 엄청 슬퍼 정말...,3
지금 난 완전 토할 것 같아 진짜. ,6
갑자기 오늘 분노가 치밀어 어휴... ,2
방금 말도 안 되게 구리다 진짜? ,6
정말 아까 진짜 행복해 행운이다 ㅠㅠ ,5
정말 점심 먹고 엄청나게 소름 돋는 역겨움 진짜!! ,6
나 점심 먹고 너무 어이없다 왜 저래... ,2
나 출근하면서 완전 어이없네 실화야!! ,1
왠지 점심 먹고 굉장히 버티기 힘들다 말문이 막혀... ,3
정말 출근하면서 말도 안 되게 빡친다 어휴!! ,2
나 오늘 약간 너무 불쾌해!!,6
나 오늘 살짝 가슴이 먹먹해 말문이 막혀. ,3
솔직히 방금 진짜 역겹다 ㅎㅎ ,6
정말 밤늦게 말도 안 되게 너무 불쾌해. ,6
오늘 난 출근하면서 마음이 편안해 그냥 이렇게 있고 싶어!! ,4
